"Method","Route","Source","Auth","MutatesData","Risk","Notes"
"GET","/","Program.cs","Anonymous","False","P0","Service identity endpoint"
"GET","/health","Program.cs","Anonymous","False","P0","Public health alias"
"GET","/api/health","Program.cs","Anonymous","False","P0","Public API health alias"
"GET","/health/live","HealthController.cs","Anonymous","False","P0","Liveness"
"GET","/health/ready","HealthController.cs","Anonymous","False","P0","Readiness with database check"
"GET","/health/metrics","HealthController.cs","ReviewRequired","False","P2","Operational metrics exposure requires decision"
"GET","/metrics","HealthController.cs","ReviewRequired","False","P2","Absolute metrics route exposure requires decision"
"POST","/api/v1/auth/login","AuthController.cs","Anonymous","False","P1","LoginPolicy rate limit"
"POST","/api/v1/auth/refresh","AuthController.cs","Anonymous","False","P1","LoginPolicy rate limit"
"POST","/api/v1/auth/provision","AuthController.cs","ServiceGuardRequired","True","P1","Must be protected by provision guard"
"POST","/api/v1/license/validate","LicenseController.cs","Anonymous","False","P1","License validation"
"POST","/api/v1/license/generate","LicenseController.cs","Admin","True","P1","License generation"
"GET","/api/v1/products","ProductsController.cs","Authenticated","False","P1","Paged products"
"GET","/api/v1/products/changes","ProductsController.cs","Authenticated","False","P1","Product sync changes"
"POST","/api/v1/products","ProductsController.cs","Admin","True","P1","Create/update product"
"DELETE","/api/v1/products/{barcode}","ProductsController.cs","Admin","True","P1","Delete product"
"POST","/api/v1/orders","OrdersController.cs","Authenticated","True","P1","Create/update order"
"GET","/api/v1/orders","OrdersController.cs","Authenticated","False","P1","Paged orders"
"GET","/api/v1/orders/{id}","OrdersController.cs","Authenticated","False","P1","Order by id"
"POST","/api/v1/inventorymovements","InventoryMovementsController.cs","Authenticated","True","P1","Sync inventory movement"
"POST","/api/v1/shifts","ShiftsController.cs","Authenticated","True","P1","Sync shift"
"GET","/api/v1/sync/changes","SyncController.cs","Authenticated","False","P1","Sync changes"
"POST","/api/v1/sync/apply","SyncController.cs","Authenticated","True","P1","Apply sync payload"
"POST","/api/v1/sync/ping","SyncController.cs","Authenticated","False","P2","Heartbeat logging"
"POST","/api/v1/users","UsersController.cs","Admin","True","P1","Create/update user"
"DELETE","/api/v1/users/{username}","UsersController.cs","Admin","True","P1","Delete user"
